Number of good map points:17967
Image index, timestamp, feature index, x, y
current frame timestamp:20170927.141260
587 20170927.141109 1841 775.872070 376.704041
579 20170927.141060 1861 772.416077 378.432037
555 20170927.141032 1547 758.880005 383.040009
596 20170927.141119 1865 781.056091 371.520050
619 20170927.141146 2091 796.262512 362.880066
614 20170927.141140 2360 793.774170 365.783081
609 20170927.141134 2088 792.115295 367.027252
592 20170927.141115 1856 781.056091 374.976044
638 20170927.141208 2574 806.215820 353.341492
624 20170927.141152 2096 800.409729 362.880066
633 20170927.141202 2577 803.727478 358.318115
629 20170927.141157 2569 803.727478 358.318115
643 20170927.141213 2571 808.704102 353.341492
671 20170927.141246 2787 812.187805 322.486328
648 20170927.141219 2579 811.192444 350.853180
659 20170927.141232 2791 812.187805 334.430267
731 20170927.141355 2841 791.883118 257.989075
738 20170927.141403 2975 781.133606 247.239532
703 20170927.141323 2687 806.215820 295.612457
689 20170927.141307 2725 806.215820 295.612457
717 20170927.141339 2424 798.750854 276.203552
710 20170927.141331 2690 800.243835 286.654510
683 20170927.141260 2444 806.215820 298.598450
0.433658 0.796528 8.925827 0 0 0 
Num of good obeservatiosn:32
567 20170927.141046 2092 729.907288 323.481659
575 20170927.141055 1811 734.400085 324.864044
583 20170927.141105 1787 736.128052 317.952026
604 20170927.141129 2366 741.519470 301.086761
587 20170927.141109 1785 736.128052 316.224030
579 20170927.141060 2066 734.054504 319.334442
543 20170927.141018 1825 718.848083 342.144043
555 20170927.141032 1467 725.760010 331.200012
596 20170927.141119 2077 740.275330 306.892853
619 20170927.141146 2962 745.301758 293.820892
614 20170927.141140 2793 749.482117 298.598450
609 20170927.141134 2793 746.496155 301.584442
592 20170927.141115 2076 738.201721 313.113647
638 20170927.141208 2971 748.884949 279.488159
624 20170927.141152 2966 748.884949 290.237701
633 20170927.141202 2964 748.884949 286.654541
629 20170927.141157 2966 748.884949 286.654541
643 20170927.141213 2784 755.454102 274.710571
665 20170927.141239 2316 744.422485 244.684830
671 20170927.141246 2964 741.718567 236.489990
648 20170927.141219 2795 752.468140 271.724609
653 20170927.141225 2791 752.468140 265.752625
659 20170927.141232 2968 745.301758 254.405899
738 20170927.141403 2793 671.846497 140.341278
746 20170927.141412 2968 648.555847 125.411354
696 20170927.141315 2962 720.219482 204.241348
677 20170927.141253 2970 734.552246 225.740448
689 20170927.141307 2964 720.219482 207.824539
776 20170927.141446 2593 569.825378 84.602890
717 20170927.141339 2971 698.720398 179.159088
754 20170927.141421 2812 630.042725 110.481430
683 20170927.141260 2970 727.385864 211.407715
-0.005773 1.056313 8.678267 0 0 0 
Num of good obeservatiosn:22
567 20170927.141046 1471 476.640015 498.240021
547 20170927.141023 438 494.000000 498.000000
563 20170927.141041 1467 482.400024 495.360016
575 20170927.141055 1506 472.320007 504.000031
604 20170927.141129 1716 438.912048 504.576050
600 20170927.141124 2060 443.750458 501.811279
596 20170927.141119 2065 447.897675 501.811279
614 20170927.141140 2054 429.235260 508.032074
592 20170927.141115 1782 456.192047 502.848053
624 20170927.141152 2343 413.061188 512.593994
633 20170927.141202 2058 396.057648 516.326477
629 20170927.141157 1685 404.352051 514.944031
643 20170927.141213 2982 372.650879 519.561340
648 20170927.141219 2986 358.318176 523.144531
653 20170927.141225 2320 348.364838 524.620850
659 20170927.141232 2994 322.486359 523.144531
703 20170927.141323 2586 149.299225 564.848694
696 20170927.141315 2804 182.145065 549.421143
677 20170927.141253 2595 266.250275 530.012207
717 20170927.141339 2810 74.649612 579.281006
710 20170927.141331 2808 113.467415 570.323059
683 20170927.141260 2810 238.878769 528.519287
0.496684 0.787540 8.918811 0 0 0 
Num of good obeservatiosn:14
575 20170927.141055 1477 770.400024 318.240021
604 20170927.141129 2365 783.820923 291.133484
596 20170927.141119 1804 781.056091 302.400024
609 20170927.141134 2576 788.797546 291.133484
633 20170927.141202 1718 801.792053 279.936035
629 20170927.141157 1684 798.336060 281.664032
643 20170927.141213 2073 804.556885 269.568024
665 20170927.141239 2113 800.409729 240.537628
659 20170927.141232 2048 802.483337 248.832031
738 20170927.141403 2792 749.482117 128.397339
776 20170927.141446 2964 655.722229 68.080452
717 20170927.141339 2970 773.967224 171.992722
754 20170927.141421 2635 713.650330 98.537491
683 20170927.141260 2039 792.115295 203.212830
0.466131 0.883055 8.761164 0 0 0 
Num of good obeservatiosn:23
571 20170927.141051 2171 767.232117 381.542450
575 20170927.141055 2113 769.305725 381.542450
583 20170927.141105 2139 773.452881 377.395264
604 20170927.141129 2361 786.309204 368.271423
600 20170927.141124 2547 783.820923 365.783081
587 20170927.141109 2157 775.526489 375.321655
579 20170927.141060 2125 771.379333 377.395264
596 20170927.141119 2366 781.332581 368.271423
619 20170927.141146 2554 796.262512 363.294769
614 20170927.141140 2766 794.271912 367.276093
609 20170927.141134 2555 791.285889 368.271423
592 20170927.141115 2388 778.844299 373.248047
638 20170927.141208 2792 806.215820 355.332153
624 20170927.141152 2759 800.243835 361.304138
633 20170927.141202 2793 806.215820 358.318146
629 20170927.141157 2788 803.229858 358.318146
643 20170927.141213 2973 809.799072 354.734985
665 20170927.141239 2973 809.799072 329.652710
671 20170927.141246 2967 809.799072 322.486359
648 20170927.141219 2798 812.187805 349.360199
653 20170927.141225 2794 812.187805 346.374207
659 20170927.141232 2971 809.799072 336.819061
683 20170927.141260 2873 806.215881 300.987244
0.465151 0.882657 8.753629 0 0 0 
Num of good obeservatiosn:29
563 20170927.141041 585 763.000000 380.000000
583 20170927.141105 1128 775.200012 376.800018
604 20170927.141129 1136 788.400024 366.000000
600 20170927.141124 1544 784.800049 365.760010
579 20170927.141060 1133 771.600037 378.000000
596 20170927.141119 1138 782.400024 369.600006
619 20170927.141146 1813 794.880066 364.608032
614 20170927.141140 1804 794.880066 366.336029
609 20170927.141134 1525 792.000061 367.200012
638 20170927.141208 2314 806.630493 354.585663
624 20170927.141152 1808 800.064087 362.880035
633 20170927.141202 1716 803.520081 359.424042
629 20170927.141157 961 804.000061 358.800018
643 20170927.141213 2314 808.704102 354.585663
665 20170927.141239 2048 810.777710 329.702454
671 20170927.141246 2046 810.777710 323.481659
648 20170927.141219 2005 812.160095 350.784027
653 20170927.141225 2315 810.777710 348.364838
659 20170927.141232 2063 808.704102 337.996857
731 20170927.141355 2695 791.285889 256.794678
738 20170927.141403 2799 785.313965 244.850739
746 20170927.141412 2828 770.384033 229.323624
677 20170927.141253 2372 811.192444 313.528351
689 20170927.141307 2239 808.704102 292.377655
776 20170927.141446 2962 705.886780 197.074982
710 20170927.141331 2507 801.239136 286.156830
754 20170927.141421 2646 752.468140 217.976868
683 20170927.141260 2239 804.556885 300.672028
762 20170927.141430 2970 738.135437 211.407715
0.060554 0.951556 8.890301 0 0 0 
Num of good obeservatiosn:27
514 20170927.140945 2266 532.915283 435.456055
524 20170927.140957 2262 534.988892 431.308868
535 20170927.141009 2244 534.988892 427.161652
547 20170927.141023 2241 534.988892 423.014465
551 20170927.141028 2240 532.915283 418.867249
530 20170927.141004 2254 534.988892 429.235260
539 20170927.141014 2258 534.988892 427.161652
575 20170927.141055 2429 520.058960 418.037811
604 20170927.141129 2404 500.152405 405.596222
587 20170927.141109 2436 510.105682 413.061188
543 20170927.141018 2254 532.915283 427.161652
555 20170927.141032 1929 530.496033 418.176025
596 20170927.141119 2406 505.129028 408.084534
614 20170927.141140 2366 492.687439 405.596222
609 20170927.141134 2139 497.664062 406.425659
638 20170927.141208 2979 455.064056 397.733154
624 20170927.141152 2433 480.245819 403.107910
633 20170927.141202 2426 470.292542 400.619568
629 20170927.141157 2427 475.269196 400.619568
643 20170927.141213 2978 455.064056 397.733154
665 20170927.141239 2831 404.899536 383.400421
671 20170927.141246 2394 393.154602 378.224701
648 20170927.141219 2803 444.911713 397.135956
653 20170927.141225 2798 435.953735 394.149963
659 20170927.141232 2871 419.232239 386.983612
677 20170927.141253 2976 376.234070 376.234070
